0	7
0.6	6
1.65	7
1.8	7
2	8
2.2	8
2.4	7
2.6	7
2.8	7
3	6
3.2	6
3.4	6
3.6	7
3.8	8
4	8
4.2	8
4.4	9
4.6	8
4.8	7
5	7
5.2	6
5.4	6
5.6	8
5.8	9
6	10
6.2	10
6.4	11
6.6	9
6.8	8
7	7
7.2	7
7.4	6
7.6	8
7.8	11
8	12
8.2	13
8.4	14
8.6	14
8.8	12
9	10
9.2	8
9.4	7
9.6	9
9.8	13
10	15
10.2	19
10.4	23
10.6	24
10.8	20
11	17
11.2	13
11.4	10
11.6	12
11.8	23
12	37
12.2	50
12.4	66
12.6	79
12.8	77
13	63
13.2	44
13.4	25
13.6	9
13.8	30
14	86
14.2	169
14.4	302
14.6	511
14.8	794
15	979
15.2	1140
15.4	1273
15.6	1350
15.8	1320
16	1219
16.2	1162
16.4	1031
16.6	760
16.8	475
17	328
17.2	203
17.4	100
17.6	22
17.8	8
18	14
18.2	32
18.4	55
18.6	68
18.8	68
19	61
19.2	48
19.4	27
19.6	12
19.8	7
20	7
20.2	11
20.4	18
20.6	24
20.8	27
21	27
21.2	23
21.4	17
21.6	10
21.8	6
22	5
22.2	7
22.4	11
22.6	15
22.8	17
23	17
23.2	16
23.4	11
23.6	9
23.8	7
24	6
24.2	7
24.4	7
24.6	10
24.8	11
25	12
25.2	11
25.4	10
25.6	9
25.8	7
26	6
26.2	6
26.4	7
26.6	8
26.8	9
27	9
27.2	9
27.4	9
27.6	8
27.8	7
28	6
28.2	6
28.4	6
28.6	7
28.8	7
29	7
29.2	8
29.4	8
29.6	7
29.8	7
30	6
